RD_east,RD_north,latitude,longitude,osm_class,osm_type
89650.0,436050.0,51.9091063699,4.4374836939,shop,mall
89650.0,436150.0,51.910005096,4.4374647068,place,house
89650.0,436250.0,51.910903822,4.437445719,amenity,school
89650.0,436350.0,51.9118025479,4.4374267302,place,house
89650.0,436450.0,51.9127012737,4.4374077405,man_made,tower
89650.0,436550.0,51.9135999993,4.43738875,amenity,school
89650.0,436650.0,51.9144987249,4.4373697586,place,house
89650.0,436750.0,51.9153974503,4.4373507663,amenity,school
89650.0,436850.0,51.9162961756,4.4373317732,place,house
89650.0,436950.0,51.9171949008,4.4373127791,place,house
89650.0,437050.0,51.9180936259,4.4372937842,place,house
89650.0,437150.0,51.9189923509,4.4372747885,place,house
89650.0,437250.0,51.9198910758,4.4372557918,place,house
89650.0,437350.0,51.9207898005,4.4372367943,place,house
89650.0,437450.0,51.9216885252,4.4372177959,man_made,bridge
89650.0,437550.0,51.9225872497,4.4371987966,highway,cycleway
89650.0,437650.0,51.9234859741,4.4371797964,amenity,parking
89650.0,437750.0,51.9243846984,4.4371607954,leisure,pitch
89650.0,437850.0,51.9252834226,4.4371417935,place,house
89650.0,437950.0,51.9261821466,4.4371227907,place,house
89650.0,438050.0,51.9270808706,4.437103787,place,house
89650.0,438150.0,51.9279795944,4.4370847825,place,house
89650.0,438250.0,51.9288783182,4.4370657771,amenity,parking
89650.0,438350.0,51.9297770418,4.4370467708,place,house
89650.0,438450.0,51.9306757653,4.4370277636,highway,motorway
89650.0,438550.0,51.9315744887,4.4370087556,place,house
89650.0,438650.0,51.9324732119,4.4369897466,man_made,bridge
89650.0,438750.0,51.9333719351,4.4369707368,highway,motorway
89650.0,438850.0,51.9342706581,4.4369517262,place,house
89750.0,432850.0,51.8803588003,4.4395429786,highway,cycleway
89750.0,432950.0,51.8812575302,4.4395240486,highway,cycleway
89750.0,433050.0,51.88215626,4.4395051176,highway,service
89750.0,433150.0,51.8830549898,4.4394861859,highway,service
89750.0,433250.0,51.8839537194,4.4394672532,man_made,works
89750.0,433350.0,51.8848524489,4.4394483197,man_made,works
89750.0,433450.0,51.8857511783,4.4394293852,man_made,works
89750.0,433550.0,51.8866499076,4.4394104500000005,man_made,works
89750.0,433650.0,51.8875486368,4.4393915138,man_made,works
89750.0,433750.0,51.8884473658,4.4393725768,highway,service
89750.0,433850.0,51.8893460948,4.4393536389,highway,service
89750.0,433950.0,51.8902448237,4.4393347001,highway,service
89750.0,434050.0,51.8911435524,4.4393157605,highway,service
89750.0,434150.0,51.892042281,4.43929682,highway,service
89750.0,434250.0,51.8929410095,4.4392778786000004,highway,service
89750.0,434350.0,51.893839738,4.4392589363,highway,service
89750.0,434450.0,51.8947384663,4.4392399932,highway,pedestrian
89750.0,434550.0,51.8956371945,4.4392210492,highway,pedestrian
89750.0,434650.0,51.8965359225,4.4392021043,highway,pedestrian
89750.0,434750.0,51.8974346505,4.4391831586,highway,pedestrian
89750.0,434850.0,51.8983333784,4.4391642119,highway,pedestrian
89750.0,434950.0,51.8992321061,4.4391452644000005,amenity,parking
89750.0,435050.0,51.9001308338,4.4391263161,tourism,information
89750.0,435150.0,51.9010295613,4.4391073668,tourism,information
89750.0,435250.0,51.9019282887,4.4390884167,highway,cycleway
89750.0,435350.0,51.902827016,4.4390694657,highway,cycleway
89750.0,435450.0,51.9037257432,4.4390505139,leisure,pitch
89750.0,435550.0,51.9046244703,4.4390315611,place,house
89750.0,435650.0,51.9055231972,4.4390126075,place,house
89750.0,435750.0,51.9064219241,4.438993653,place,house
89750.0,435850.0,51.9073206509,4.4389746977,highway,secondary
89750.0,435950.0,51.9082193775,4.4389557414,shop,mall
89750.0,436050.0,51.909118104,4.4389367843,place,house
89750.0,436150.0,51.910016830400004,4.4389178264,place,house
89750.0,436250.0,51.9109155567,4.4388988675,place,house
89750.0,436350.0,51.9118142829,4.4388799078,place,house
89750.0,436450.0,51.912713009,4.4388609472,place,house
89750.0,436550.0,51.9136117349,4.4388419857,amenity,school
89750.0,436650.0,51.9145104608,4.4388230234,place,house
89750.0,436750.0,51.9154091865,4.4388040601,place,house
89750.0,436850.0,51.9163079122,4.438785096,place,house
89750.0,436950.0,51.9172066377,4.4387661311,place,house
89750.0,437050.0,51.9181053631,4.4387471652,place,house
89750.0,437150.0,51.9190040883,4.4387281985,place,house
89750.0,437250.0,51.9199028135,4.4387092309,place,house
89750.0,437350.0,51.9208015386,4.4386902624,highway,cycleway
89750.0,437450.0,51.9217002635,4.4386712931,man_made,bridge
89750.0,437550.0,51.9225989883,4.4386523229,leisure,pitch
89750.0,437650.0,51.9234977131,4.4386333518,amenity,parking
89750.0,437750.0,51.9243964377,4.4386143798,leisure,pitch
89750.0,437850.0,51.9252951622,4.438595407,leisure,pitch
89750.0,437950.0,51.9261938865,4.4385764333,leisure,pitch
89750.0,438050.0,51.9270926108,4.4385574587,place,house
89750.0,438150.0,51.9279913349,4.4385384832,amenity,parking
89750.0,438250.0,51.928890059,4.4385195069,leisure,marina
89750.0,438350.0,51.9297887829,4.4385005296,building,houseboat
89750.0,438450.0,51.930687506700004,4.4384815516,highway,primary
89750.0,438550.0,51.9315862304,4.4384625726,man_made,bridge
89750.0,438650.0,51.932484954,4.4384435927,place,house
89750.0,438750.0,51.9333836774,4.438424612,place,house
89750.0,438850.0,51.9342824008,4.4384056304,amenity,fountain
89850.0,432850.0,51.8803705067,4.4409951412,highway,cycleway
89850.0,432950.0,51.8812692369,4.4409762401,highway,cycleway
89850.0,433050.0,51.882167967,4.4409573382,highway,cycleway
89850.0,433150.0,51.8830666971,4.4409384354,highway,cycleway
89850.0,433250.0,51.883965427,4.4409195318,man_made,works
89850.0,433350.0,51.8848641568,4.4409006272000005,man_made,works
89850.0,433450.0,51.8857628865,4.4408817218,man_made,works
89850.0,433550.0,51.8866616161,4.4408628156,man_made,works
89850.0,433650.0,51.8875603456,4.4408439084,man_made,works
89850.0,433750.0,51.888459075,4.4408250004,highway,service
89850.0,433850.0,51.8893578042,4.4408060915,highway,service
89850.0,433950.0,51.8902565334,4.4407871818,highway,service
89850.0,434050.0,51.8911552624,4.4407682712,highway,service
89850.0,434150.0,51.8920539914,4.4407493597,highway,service
89850.0,434250.0,51.8929527202,4.4407304473,highway,service
89850.0,434350.0,51.8938514489,4.4407115341,place,house
92350.0,433050.0,51.8824548069,4.4772631318,leisure,garden
92350.0,433150.0,51.8833535444,4.4772449542,highway,footway
92350.0,433250.0,51.8842522818,4.4772267758,leisure,playground
92350.0,433350.0,51.885151019,4.4772085965,place,house
92350.0,433450.0,51.8860497562,4.4771904164,place,house
92350.0,433550.0,51.8869484932,4.4771722354,place,house
92350.0,433650.0,51.8878472302,4.4771540536,place,house
92350.0,433750.0,51.888745967,4.477135871,place,house
92350.0,433850.0,51.8896447037,4.4771176875,place,house
92350.0,433950.0,51.8905434403,4.4770995032,place,house
92350.0,434050.0,51.8914421768,4.4770813181,place,house
92350.0,434150.0,51.8923409132,4.4770631321,place,house
92350.0,434250.0,51.8932396495,4.4770449453,place,house
92350.0,434350.0,51.8941383856,4.4770267576,place,house
92350.0,434450.0,51.8950371217,4.4770085691,amenity,taxi
92350.0,434550.0,51.8959358576,4.4769903798,highway,pedestrian
92350.0,434650.0,51.8968345935,4.4769721896,highway,pedestrian
92350.0,434750.0,51.8977333292,4.4769539986,highway,pedestrian
92350.0,434850.0,51.8986320648,4.4769358068,amenity,bench
92350.0,434950.0,51.8995308003,4.4769176141,place,house
92350.0,435050.0,51.9004295357,4.4768994206,amenity,parking
92350.0,435150.0,51.901328271,4.4768812262,highway,pedestrian
92350.0,435250.0,51.9022270062,4.476863031,highway,footway
92350.0,435350.0,51.9031257413,4.476844835,highway,footway
92350.0,435450.0,51.9040244762,4.4768266381,highway,pedestrian
92350.0,435550.0,51.9049232111,4.4768084404,highway,pedestrian
92350.0,435650.0,51.9058219458,4.4767902418,place,house
92350.0,435750.0,51.9067206804,4.4767720424,place,house
92350.0,435850.0,51.9076194149,4.4767538422,place,house
92350.0,435950.0,51.9085181493,4.4767356411,place,house
